event,parameter,station,date,min,max,mean,median,station_name
Irma,cdepth,job09wq,2017-09-05,2.1653544,2.9199476,2.47099054736842,2.4934384,Station 9 (09)
Irma,cdepth,job09wq,2017-09-06,2.5918636,3.2152232,2.8286992375,2.788714,Station 9 (09)
Irma,cdepth,job09wq,2017-09-07,2.2637796,3.3136484,2.61066007916667,2.4934384,Station 9 (09)
Irma,cdepth,job09wq,2017-09-08,2.1981628,2.5262468,2.31333395416667,2.296588,Station 9 (09)
Irma,cdepth,job09wq,2017-09-09,2.2637796,2.7559056,2.51257663333333,2.4934384,Station 9 (09)
Irma,cdepth,job09wq,2017-09-10,2.2637796,2.624672,2.46746508333333,2.4934384,Station 9 (09)
Irma,cdepth,job09wq,2017-09-11,2.132546,2.3950132,2.2637796,2.2637796,Station 9 (09)
Irma,cdepth,job10wq,2017-09-05,1.968504,2.7559056,2.38508434210526,2.4114174,Station 10 (10)
Irma,cdepth,job10wq,2017-09-06,2.4278216,3.0183728,2.7302740375,2.706693,Station 10 (10)
Irma,cdepth,job10wq,2017-09-07,2.1653544,3.1496064,2.51018435416667,2.3950132,Station 10 (10)
Irma,cdepth,job10wq,2017-09-08,2.0341208,2.4278216,2.2422490875,2.2309712,Station 10 (10)
Irma,cdepth,job10wq,2017-09-09,2.1981628,2.6574804,2.43363142083333,2.4114174,Station 10 (10)
Irma,cdepth,job10wq,2017-09-10,2.1981628,2.5262468,2.37929250833333,2.3950132,Station 10 (10)
Irma,cdepth,job10wq,2017-09-11,2.0669292,2.296588,2.18658336470588,2.1653544,Station 10 (10)
Irma,cdepth,job19wq,2017-09-05,2.46063,3.116798,2.70453455263158,2.7230972,Station 19 (19)
Irma,cdepth,job19wq,2017-09-06,2.788714,3.444882,3.06314259583333,3.034777,Station 19 (19)
Irma,cdepth,job19wq,2017-09-07,2.5262468,3.5433072,2.8348508125,2.706693,Station 19 (19)
Irma,cdepth,job19wq,2017-09-08,2.46063,2.6574804,2.53923345833333,2.5262468,Station 19 (19)
Irma,cdepth,job19wq,2017-09-09,2.5262468,2.9855644,2.73198280833333,2.7230972,Station 19 (19)
Irma,cdepth,job19wq,2017-09-10,2.4934384,2.8215224,2.68037792916667,2.706693,Station 19 (19)
Irma,cdepth,job19wq,2017-09-11,2.3622048,2.5918636,2.48378887058824,2.4934384,Station 19 (19)
Irma,cdepth,job20wq,2017-09-05,2.6574804,3.3136484,2.93419335263158,2.952756,Station 20 (20)
Irma,cdepth,job20wq,2017-09-06,3.0839896,3.7073492,3.31752896344086,3.28084,Station 20 (20)
Irma,cdepth,job20wq,2017-09-07,2.9199476,3.8057744,3.10429956190476,3.0183728,Station 20 (20)
Irma,cdepth,job20wq,2017-09-08,2.788714,3.0511812,2.87859534583333,2.8871392,Station 20 (20)
Irma,cdepth,job20wq,2017-09-09,2.8871392,3.28084,3.08433135416667,3.0511812,Station 20 (20)
Irma,cdepth,job20wq,2017-09-10,2.8543308,3.1824148,3.03546050833333,3.0511812,Station 20 (20)
Irma,cdepth,job20wq,2017-09-11,2.7230972,2.952756,2.82731211764706,2.8215224,Station 20 (20)
Irma,depth,job09wq,2017-09-05,2.0669292,2.788714,2.38249420526316,2.3950132,Station 9 (09)
Irma,depth,job09wq,2017-09-06,2.1981628,2.9855644,2.57580115416667,2.5590552,Station 9 (09)
Irma,depth,job09wq,2017-09-07,2.0997376,2.8871392,2.41073389166667,2.3293964,Station 9 (09)
Irma,depth,job09wq,2017-09-08,2.0997376,2.46063,2.23438874166667,2.1981628,Station 9 (09)
Irma,depth,job09wq,2017-09-09,2.1653544,2.624672,2.40184828333333,2.3950132,Station 9 (09)
Irma,depth,job09wq,2017-09-10,2.132546,2.5590552,2.36972339166667,2.3950132,Station 9 (09)
Irma,depth,job09wq,2017-09-11,2.132546,2.3293964,2.24448054117647,2.2309712,Station 9 (09)
Irma,depth,job10wq,2017-09-05,1.8700788,2.624672,2.296588,2.3293964,Station 10 (10)
Irma,depth,job10wq,2017-09-06,2.0341208,2.8871392,2.47737595416667,2.46063,Station 10 (10)
Irma,depth,job10wq,2017-09-07,2.0013124,2.7230972,2.31025816666667,2.2637796,Station 10 (10)
Irma,depth,job10wq,2017-09-08,1.968504,2.3950132,2.163303875,2.132546,Station 10 (10)
Irma,depth,job10wq,2017-09-09,2.0997376,2.5590552,2.32290307083333,2.3129922,Station 10 (10)
Irma,depth,job10wq,2017-09-10,2.0341208,2.46063,2.28155081666667,2.296588,Station 10 (10)
Irma,depth,job10wq,2017-09-11,2.0669292,2.296588,2.16728430588235,2.1653544,Station 10 (10)
Irma,depth,job19wq,2017-09-05,2.3293964,2.9855644,2.61603821052632,2.624672,Station 19 (19)
Irma,depth,job19wq,2017-09-06,2.3293964,3.2152232,2.8102445125,2.7723098,Station 19 (19)
Irma,depth,job19wq,2017-09-07,2.3622048,3.116798,2.634924625,2.5754594,Station 19 (19)
Irma,depth,job19wq,2017-09-08,2.3622048,2.5918636,2.46028824583333,2.4442258,Station 19 (19)
Irma,depth,job19wq,2017-09-09,2.4278216,2.8543308,2.62125445833333,2.624672,Station 19 (19)
Irma,depth,job19wq,2017-09-10,2.3622048,2.7230972,2.5826362375,2.6082678,Station 19 (19)
Irma,depth,job19wq,2017-09-11,2.3622048,2.5262468,2.46448981176471,2.46063,Station 19 (19)
Irma,depth,job20wq,2017-09-05,2.5262468,3.1824148,2.84569701052632,2.8871392,Station 20 (20)
Irma,depth,job20wq,2017-09-06,2.6574804,3.4120736,3.07234790967742,3.0511812,Station 20 (20)
Irma,depth,job20wq,2017-09-07,2.7559056,3.3792652,2.92424393809524,2.8871392,Station 20 (20)
Irma,depth,job20wq,2017-09-08,2.6902888,2.952756,2.79965013333333,2.788714,Station 20 (20)
Irma,depth,job20wq,2017-09-09,2.7559056,3.1496064,2.97360300416667,2.9855644,Station 20 (20)
Irma,depth,job20wq,2017-09-10,2.6902888,3.0839896,2.93771881666667,2.952756,Station 20 (20)
Irma,depth,job20wq,2017-09-11,2.7230972,2.8871392,2.80801305882353,2.8215224,Station 20 (20)
Irma,do_mgl,job09wq,2017-09-05,1,6.3,3.50394736842105,3.15,Station 9 (09)
Irma,do_mgl,job09wq,2017-09-06,0.6,5.1,2.10208333333333,1.35,Station 9 (09)
Irma,do_mgl,job09wq,2017-09-07,1.1,4,2.42395833333333,2.3,Station 9 (09)
Irma,do_mgl,job09wq,2017-09-08,0.5,4.4,2.41875,2,Station 9 (09)
Irma,do_mgl,job09wq,2017-09-09,2.1,7.1,4.56458333333333,4.2,Station 9 (09)
Irma,do_mgl,job09wq,2017-09-10,1.2,7.2,4.42291666666667,4.95,Station 9 (09)
Irma,do_mgl,job09wq,2017-09-11,1.8,4.5,3.27647058823529,3.5,Station 9 (09)
Irma,do_mgl,job10wq,2017-09-05,2.8,5.4,3.98289473684211,3.85,Station 10 (10)
Irma,do_mgl,job10wq,2017-09-06,1.9,4.5,3.01979166666667,2.95,Station 10 (10)
Irma,do_mgl,job10wq,2017-09-07,2.6,5.2,3.93020833333333,3.7,Station 10 (10)
Irma,do_mgl,job10wq,2017-09-08,3.5,5.3,4.3375,4.35,Station 10 (10)
Irma,do_mgl,job10wq,2017-09-09,3,5.5,4.234375,4.2,Station 10 (10)
Irma,do_mgl,job10wq,2017-09-10,3.6,6.5,4.6125,4.3,Station 10 (10)
Irma,do_mgl,job10wq,2017-09-11,3.7,5.2,4.50588235294118,4.4,Station 10 (10)
Irma,do_mgl,job19wq,2017-09-05,4.8,8.7,6.18947368421053,6.1,Station 19 (19)
Irma,do_mgl,job19wq,2017-09-06,4.9,6.9,5.73854166666667,5.7,Station 19 (19)
Irma,do_mgl,job19wq,2017-09-07,4.5,6.5,5.60520833333333,5.6,Station 19 (19)
Irma,do_mgl,job19wq,2017-09-08,5,7.6,5.98333333333333,5.85,Station 19 (19)
Irma,do_mgl,job19wq,2017-09-09,5.1,8.2,6.57083333333333,6.1,Station 19 (19)
Irma,do_mgl,job19wq,2017-09-10,5,7.5,6.52708333333333,6.6,Station 19 (19)
Irma,do_mgl,job19wq,2017-09-11,5.7,6.2,6.02352941176471,6,Station 19 (19)
Irma,do_mgl,job20wq,2017-09-05,4.4,8.4,6.03684210526316,5.35,Station 20 (20)
Irma,do_mgl,job20wq,2017-09-06,4.5,7.7,5.53763440860215,5.5,Station 20 (20)
Irma,do_mgl,job20wq,2017-09-07,5,6.9,6.03928571428571,5.9,Station 20 (20)
Irma,do_mgl,job20wq,2017-09-08,5.6,7.4,6.25833333333333,5.95,Station 20 (20)
Irma,do_mgl,job20wq,2017-09-09,4.9,7.3,6.08125,6.05,Station 20 (20)
Irma,do_mgl,job20wq,2017-09-10,4.8,8.2,6.071875,5.7,Station 20 (20)
Irma,do_mgl,job20wq,2017-09-11,6,7.3,6.7,6.5,Station 20 (20)
Irma,do_pct,job09wq,2017-09-05,16.6,103.9,57.1118421052632,50.95,Station 9 (09)
Irma,do_pct,job09wq,2017-09-06,8.8,82.6,33.7072916666667,21.4,Station 9 (09)
Irma,do_pct,job09wq,2017-09-07,16.7,62,37.1583333333333,35.9,Station 9 (09)
Irma,do_pct,job09wq,2017-09-08,8.1,68.7,37.6979166666667,31.25,Station 9 (09)
Irma,do_pct,job09wq,2017-09-09,33.6,113.7,72.6197916666667,66.75,Station 9 (09)
Irma,do_pct,job09wq,2017-09-10,19.2,116.8,71.4041666666667,80.35,Station 9 (09)
Irma,do_pct,job09wq,2017-09-11,28.7,73.5,53.3352941176471,56.9,Station 9 (09)
Irma,do_pct,job10wq,2017-09-05,44.7,89.7,65.0263157894737,63.05,Station 10 (10)
Irma,do_pct,job10wq,2017-09-06,30.8,73.3,48.7833333333333,47.6,Station 10 (10)
Irma,do_pct,job10wq,2017-09-07,40.7,82.3,61.503125,58.35,Station 10 (10)
Irma,do_pct,job10wq,2017-09-08,54.3,83.4,67.9010416666667,68.55,Station 10 (10)
Irma,do_pct,job10wq,2017-09-09,45.6,88.8,66.5833333333333,65.6,Station 10 (10)
Irma,do_pct,job10wq,2017-09-10,55.9,104.8,73.3083333333333,67.4,Station 10 (10)
Irma,do_pct,job10wq,2017-09-11,59.4,83.9,72.4823529411765,70.5,Station 10 (10)
Irma,do_pct,job19wq,2017-09-05,77.2,142,100.478947368421,98.05,Station 19 (19)
Irma,do_pct,job19wq,2017-09-06,79.4,112.7,92.521875,91.3,Station 19 (19)
Irma,do_pct,job19wq,2017-09-07,70.5,103.9,88.5802083333333,88.15,Station 19 (19)
Irma,do_pct,job19wq,2017-09-08,78.2,120,94.0604166666667,91.55,Station 19 (19)
Irma,do_pct,job19wq,2017-09-09,78.8,130.6,103.408333333333,95.8,Station 19 (19)
Irma,do_pct,job19wq,2017-09-10,79.1,120.7,103.913541666667,104.85,Station 19 (19)
Irma,do_pct,job19wq,2017-09-11,91.6,99.2,96.1823529411765,96.5,Station 19 (19)
Irma,do_pct,job20wq,2017-09-05,70.6,136.2,97.3934210526316,85.65,Station 20 (20)
Irma,do_pct,job20wq,2017-09-06,72,125.6,88.1032258064516,88.1,Station 20 (20)
Irma,do_pct,job20wq,2017-09-07,78,110.7,95.5785714285714,93.15,Station 20 (20)
Irma,do_pct,job20wq,2017-09-08,88.3,118.2,98.9770833333333,93.2,Station 20 (20)
Irma,do_pct,job20wq,2017-09-09,76.4,116,96.06875,94.9,Station 20 (20)
Irma,do_pct,job20wq,2017-09-10,75.2,133.1,96.7729166666667,90.1,Station 20 (20)
Irma,do_pct,job20wq,2017-09-11,96.7,118.3,107.464705882353,105,Station 20 (20)
Irma,ph,job09wq,2017-09-05,7.3,7.9,7.56052631578947,7.5,Station 9 (09)
Irma,ph,job09wq,2017-09-06,7.1,7.9,7.378125,7.3,Station 9 (09)
Irma,ph,job09wq,2017-09-07,6.9,7.5,7.03854166666667,7,Station 9 (09)
Irma,ph,job09wq,2017-09-08,7,7.4,7.2625,7.3,Station 9 (09)
Irma,ph,job09wq,2017-09-09,7.2,7.8,7.53229166666667,7.5,Station 9 (09)
Irma,ph,job09wq,2017-09-10,7.4,7.8,7.66770833333333,7.7,Station 9 (09)
Irma,ph,job09wq,2017-09-11,7.4,7.7,7.57647058823529,7.6,Station 9 (09)
Irma,ph,job10wq,2017-09-05,7.7,7.9,7.81315789473684,7.8,Station 10 (10)
Irma,ph,job10wq,2017-09-06,7.7,7.8,7.725,7.7,Station 10 (10)
Irma,ph,job10wq,2017-09-07,7.6,7.9,7.74479166666667,7.7,Station 10 (10)
Irma,ph,job10wq,2017-09-08,7.7,7.9,7.775,7.8,Station 10 (10)
Irma,ph,job10wq,2017-09-09,7.6,7.9,7.76458333333333,7.75,Station 10 (10)
Irma,ph,job10wq,2017-09-10,7.7,8,7.82291666666667,7.8,Station 10 (10)
Irma,ph,job10wq,2017-09-11,7.7,7.9,7.82352941176471,7.8,Station 10 (10)
Irma,ph,job19wq,2017-09-05,8,8.2,8.0328947368421,8,Station 19 (19)
Irma,ph,job19wq,2017-09-06,8,8.1,8.009375,8,Station 19 (19)
Irma,ph,job19wq,2017-09-07,7.8,8,7.96041666666667,8,Station 19 (19)
Irma,ph,job19wq,2017-09-08,7.9,8,7.9625,8,Station 19 (19)
Irma,ph,job19wq,2017-09-09,7.9,8.1,7.98645833333333,8,Station 19 (19)
Irma,ph,job19wq,2017-09-10,7.9,8.1,8.03229166666667,8,Station 19 (19)
Irma,ph,job19wq,2017-09-11,8,8,8,8,Station 19 (19)
Irma,ph,job20wq,2017-09-05,7.9,8.1,7.98684210526316,8,Station 20 (20)
Irma,ph,job20wq,2017-09-06,7.9,8.1,7.98494623655914,8,Station 20 (20)
Irma,ph,job20wq,2017-09-07,7.9,8,7.96190476190476,8,Station 20 (20)
Irma,ph,job20wq,2017-09-08,7.9,8.1,7.953125,8,Station 20 (20)
Irma,ph,job20wq,2017-09-09,7.9,8,7.95520833333333,8,Station 20 (20)
Irma,ph,job20wq,2017-09-10,7.9,8.1,7.98333333333333,8,Station 20 (20)
Irma,ph,job20wq,2017-09-11,8,8,8,8,Station 20 (20)
Irma,sal,job09wq,2017-09-05,33.9,35,34.4973684210526,34.5,Station 9 (09)
Irma,sal,job09wq,2017-09-06,33.2,34.3,34.0447916666667,34.1,Station 9 (09)
Irma,sal,job09wq,2017-09-07,32,33.8,32.4958333333333,32.3,Station 9 (09)
Irma,sal,job09wq,2017-09-08,32.5,33.2,32.9010416666667,32.9,Station 9 (09)
Irma,sal,job09wq,2017-09-09,32.8,33.5,33.215625,33.2,Station 9 (09)
Irma,sal,job09wq,2017-09-10,32.6,33.7,33.3604166666667,33.4,Station 9 (09)
Irma,sal,job09wq,2017-09-11,33,33.4,33.2176470588235,33.2,Station 9 (09)
Irma,sal,job10wq,2017-09-05,33.8,34.5,34.3513157894737,34.4,Station 10 (10)
Irma,sal,job10wq,2017-09-06,34,34.5,34.284375,34.3,Station 10 (10)
Irma,sal,job10wq,2017-09-07,33.9,34.2,34.0583333333333,34.1,Station 10 (10)
Irma,sal,job10wq,2017-09-08,33,34.1,33.78125,33.9,Station 10 (10)
Irma,sal,job10wq,2017-09-09,33.2,33.6,33.4145833333333,33.4,Station 10 (10)
Irma,sal,job10wq,2017-09-10,33.5,33.6,33.5833333333333,33.6,Station 10 (10)
Irma,sal,job10wq,2017-09-11,33.6,33.7,33.6117647058824,33.6,Station 10 (10)
Irma,sal,job19wq,2017-09-05,33.7,34,33.8789473684211,33.9,Station 19 (19)
Irma,sal,job19wq,2017-09-06,33.6,34.2,33.8895833333333,33.9,Station 19 (19)
Irma,sal,job19wq,2017-09-07,33.3,34.1,33.9229166666667,33.9,Station 19 (19)
Irma,sal,job19wq,2017-09-08,32.8,34,33.396875,33.2,Station 19 (19)
Irma,sal,job19wq,2017-09-09,32.4,33.5,33.0604166666667,33.2,Station 19 (19)
Irma,sal,job19wq,2017-09-10,32.9,33.9,33.6145833333333,33.65,Station 19 (19)
Irma,sal,job19wq,2017-09-11,33.7,33.8,33.7941176470588,33.8,Station 19 (19)
Irma,sal,job20wq,2017-09-05,33.4,34.3,34.075,34.2,Station 20 (20)
Irma,sal,job20wq,2017-09-06,33.4,34.4,34.0903225806452,34.2,Station 20 (20)
Irma,sal,job20wq,2017-09-07,33,34.1,33.9309523809524,34,Station 20 (20)
Irma,sal,job20wq,2017-09-08,33,34,33.8041666666667,33.9,Station 20 (20)
Irma,sal,job20wq,2017-09-09,32.9,33.9,33.5052083333333,33.8,Station 20 (20)
Irma,sal,job20wq,2017-09-10,33,34.1,33.9333333333333,33.9,Station 20 (20)
Irma,sal,job20wq,2017-09-11,34,34.1,34.0058823529412,34,Station 20 (20)
Irma,spcond,job09wq,2017-09-05,51.85,53.28,52.6264473684211,52.615,Station 9 (09)
Irma,spcond,job09wq,2017-09-06,50.73,52.44,51.959375,52.04,Station 9 (09)
Irma,spcond,job09wq,2017-09-07,49.06,51.55,49.7640625,49.54,Station 9 (09)
Irma,spcond,job09wq,2017-09-08,49.87,50.72,50.3596875,50.41,Station 9 (09)
Irma,spcond,job09wq,2017-09-09,50.23,51.14,50.8395833333333,50.92,Station 9 (09)
Irma,spcond,job09wq,2017-09-10,50.07,51.52,51.0765625,51.075,Station 9 (09)
Irma,spcond,job09wq,2017-09-11,50.58,51.09,50.9370588235294,50.96,Station 9 (09)
Irma,spcond,job10wq,2017-09-05,51.77,52.7,52.4517105263158,52.535,Station 10 (10)
Irma,spcond,job10wq,2017-09-06,51.86,52.7,52.3260416666667,52.32,Station 10 (10)
Irma,spcond,job10wq,2017-09-07,51.67,52.15,51.9245833333333,51.94,Station 10 (10)
Irma,spcond,job10wq,2017-09-08,50.5,52.03,51.5703125,51.73,Station 10 (10)
Irma,spcond,job10wq,2017-09-09,50.78,51.33,51.0666666666667,51,Station 10 (10)
Irma,spcond,job10wq,2017-09-10,51.26,51.46,51.324375,51.3,Station 10 (10)
Irma,spcond,job10wq,2017-09-11,51.42,51.47,51.4494117647059,51.45,Station 10 (10)
Irma,spcond,job19wq,2017-09-05,51.64,51.9,51.8194736842105,51.84,Station 19 (19)
Irma,spcond,job19wq,2017-09-06,51.43,52.11,51.7883333333333,51.77,Station 19 (19)
Irma,spcond,job19wq,2017-09-07,50.92,52,51.771875,51.81,Station 19 (19)
Irma,spcond,job19wq,2017-09-08,50.23,51.84,51.0536458333333,50.805,Station 19 (19)
Irma,spcond,job19wq,2017-09-09,49.72,51.3,50.5998958333333,50.72,Station 19 (19)
Irma,spcond,job19wq,2017-09-10,50.46,51.79,51.37625,51.43,Station 19 (19)
Irma,spcond,job19wq,2017-09-11,51.57,51.7,51.6541176470588,51.68,Station 19 (19)
Irma,spcond,job20wq,2017-09-05,51.19,52.36,52.0457894736842,52.22,Station 20 (20)
Irma,spcond,job20wq,2017-09-06,51.13,52.37,52.0113978494624,52.22,Station 20 (20)
Irma,spcond,job20wq,2017-09-07,50.56,51.99,51.7853571428571,51.89,Station 20 (20)
Irma,spcond,job20wq,2017-09-08,50.48,51.85,51.6277083333333,51.73,Station 20 (20)
Irma,spcond,job20wq,2017-09-09,50.37,51.76,51.235,51.6,Station 20 (20)
Irma,spcond,job20wq,2017-09-10,50.5,52.08,51.8098958333333,51.76,Station 20 (20)
Irma,spcond,job20wq,2017-09-11,51.95,52.02,51.9835294117647,51.99,Station 20 (20)
Irma,temp,job09wq,2017-09-05,85.46,90.14,87.7668421052632,87.44,Station 9 (09)
Irma,temp,job09wq,2017-09-06,83.84,89.42,85.986875,85.46,Station 9 (09)
Irma,temp,job09wq,2017-09-07,80.24,84.74,82.251875,82.22,Station 9 (09)
Irma,temp,job09wq,2017-09-08,83.3,85.28,84.2675,84.2,Station 9 (09)
Irma,temp,job09wq,2017-09-09,85.1,87.98,86.046875,85.28,Station 9 (09)
Irma,temp,job09wq,2017-09-10,84.74,89.6,87.59375,87.26,Station 9 (09)
Irma,temp,job09wq,2017-09-11,88.34,89.78,89.0494117647059,88.88,Station 9 (09)
Irma,temp,job10wq,2017-09-05,87.08,89.96,88.4773684210526,88.34,Station 10 (10)
Irma,temp,job10wq,2017-09-06,85.1,89.24,87.449375,87.62,Station 10 (10)
Irma,temp,job10wq,2017-09-07,82.4,85.28,83.950625,84.2,Station 10 (10)
Irma,temp,job10wq,2017-09-08,82.76,85.1,84.11,84.2,Station 10 (10)
Irma,temp,job10wq,2017-09-09,82.94,87.08,84.685625,84.2,Station 10 (10)
Irma,temp,job10wq,2017-09-10,84.74,87.62,85.938125,85.82,Station 10 (10)
Irma,temp,job10wq,2017-09-11,86.9,87.62,87.2388235294118,87.26,Station 10 (10)
Irma,temp,job19wq,2017-09-05,87.08,89.24,88.07,87.8,Station 19 (19)
Irma,temp,job19wq,2017-09-06,86,88.88,87.3875,87.44,Station 19 (19)
Irma,temp,job19wq,2017-09-07,84.2,86,85.12625,85.1,Station 19 (19)
Irma,temp,job19wq,2017-09-08,84.38,85.82,84.92,84.92,Station 19 (19)
Irma,temp,job19wq,2017-09-09,83.66,86.36,85.0625,84.74,Station 19 (19)
Irma,temp,job19wq,2017-09-10,85.64,87.08,86.19125,86,Station 19 (19)
Irma,temp,job19wq,2017-09-11,86.18,86.36,86.3494117647059,86.36,Station 19 (19)
Irma,temp,job20wq,2017-09-05,85.64,88.88,87.1297368421053,86.9,Station 20 (20)
Irma,temp,job20wq,2017-09-06,84.92,87.98,85.821935483871,85.82,Station 20 (20)
Irma,temp,job20wq,2017-09-07,83.48,86.18,85.1428571428571,85.46,Station 20 (20)
Irma,temp,job20wq,2017-09-08,84.56,86.54,85.259375,85.1,Station 20 (20)
Irma,temp,job20wq,2017-09-09,84.2,86.72,85.3325,85.01,Station 20 (20)
Irma,temp,job20wq,2017-09-10,84.38,87.8,85.874375,85.46,Station 20 (20)
Irma,temp,job20wq,2017-09-11,86.54,87.44,86.9,86.9,Station 20 (20)
Irma,turb,job09wq,2017-09-05,0,6,2.25,2,Station 9 (09)
Irma,turb,job09wq,2017-09-06,0,11,4.53125,4.5,Station 9 (09)
Irma,turb,job09wq,2017-09-07,3,20,10.4736842105263,10,Station 9 (09)
Irma,turb,job09wq,2017-09-08,1,10,3.92708333333333,4,Station 9 (09)
Irma,turb,job09wq,2017-09-09,0,8,2.11458333333333,1,Station 9 (09)
Irma,turb,job09wq,2017-09-10,1,12,3.5625,3,Station 9 (09)
Irma,turb,job09wq,2017-09-11,1,66,8.23529411764706,5,Station 9 (09)
Irma,turb,job10wq,2017-09-05,0,1,0.0131578947368421,0,Station 10 (10)
Irma,turb,job10wq,2017-09-06,0,1,0.0208333333333333,0,Station 10 (10)
Irma,turb,job10wq,2017-09-07,0,1,0.0104166666666667,0,Station 10 (10)
Irma,turb,job10wq,2017-09-08,0,0,0,0,Station 10 (10)
Irma,turb,job10wq,2017-09-09,0,1,0.0208333333333333,0,Station 10 (10)
Irma,turb,job10wq,2017-09-10,0,1,0.0104166666666667,0,Station 10 (10)
Irma,turb,job10wq,2017-09-11,0,0,0,0,Station 10 (10)
Irma,turb,job19wq,2017-09-05,0,1,0.407894736842105,0,Station 19 (19)
Irma,turb,job19wq,2017-09-06,0,6,1.09375,1,Station 19 (19)
Irma,turb,job19wq,2017-09-07,2,6,2.9375,3,Station 19 (19)
Irma,turb,job19wq,2017-09-08,1,3,1.96875,2,Station 19 (19)
Irma,turb,job19wq,2017-09-09,1,8,1.42708333333333,1,Station 19 (19)
Irma,turb,job19wq,2017-09-10,1,2,1.01041666666667,1,Station 19 (19)
Irma,turb,job19wq,2017-09-11,1,1,1,1,Station 19 (19)
Irma,turb,job20wq,2017-09-05,1,4,1.43421052631579,1,Station 20 (20)
Irma,turb,job20wq,2017-09-06,1,99,11.5294117647059,2,Station 20 (20)
Irma,turb,job20wq,2017-09-07,2,91,12.1428571428571,3,Station 20 (20)
Irma,turb,job20wq,2017-09-08,1,5,2.77083333333333,3,Station 20 (20)
Irma,turb,job20wq,2017-09-09,1,4,1.8125,2,Station 20 (20)
Irma,turb,job20wq,2017-09-10,1,2,1.83333333333333,2,Station 20 (20)
Irma,turb,job20wq,2017-09-11,2,2,2,2,Station 20 (20)
